year,county,cause,sex,age_code,N
108,0101,01,1,15,3
108,0101,01,1,18,2
108,0101,01,1,19,2
108,0101,01,1,20,1
108,0101,01,1,22,1
108,0101,02,2,18,1
108,0101,03,1,18,1
108,0101,03,1,19,1
108,0101,03,2,19,1
108,0101,04,1,16,1
108,0101,04,1,19,1
108,0101,04,1,23,1
108,0101,04,2,17,1
108,0101,05,1,17,3
108,0101,05,1,20,2
108,0101,05,1,21,1
108,0101,05,1,22,1
108,0101,05,1,23,4
108,0101,05,1,24,1
108,0101,05,1,25,1
108,0101,05,2,18,1
108,0101,05,2,19,1
108,0101,05,2,21,2
108,0101,05,2,22,4
108,0101,05,2,24,2
108,0101,05,2,25,1
108,0101,06,2,19,1
108,0101,07,1,16,1
108,0101,07,1,17,2
108,0101,07,1,18,1
108,0101,07,1,19,4
108,0101,07,1,20,5
108,0101,07,1,21,12
108,0101,07,1,22,2
108,0101,07,1,23,2
108,0101,07,1,24,4
108,0101,07,2,14,1
108,0101,07,2,16,1
108,0101,07,2,17,1
108,0101,07,2,19,3
108,0101,07,2,20,2
108,0101,07,2,21,2
108,0101,07,2,22,4
108,0101,07,2,23,3
108,0101,07,2,24,2
108,0101,07,2,25,2
108,0101,08,1,15,1
108,0101,08,1,16,4
108,0101,08,1,17,2
108,0101,08,1,19,5
108,0101,08,1,20,4
108,0101,08,1,21,5
108,0101,08,1,22,4
108,0101,08,1,23,4
108,0101,08,2,19,4
108,0101,08,2,24,1
108,0101,09,1,15,1
108,0101,09,1,17,1
108,0101,09,1,18,1
108,0101,09,1,19,2
108,0101,09,1,25,1
108,0101,09,2,20,1
108,0101,09,2,21,1
108,0101,10,1,15,1
108,0101,10,1,17,3
108,0101,10,1,19,1
108,0101,10,1,21,1
108,0101,10,1,23,2
108,0101,10,1,24,2
108,0101,10,2,17,1
108,0101,10,2,18,4
108,0101,10,2,19,2
108,0101,10,2,20,2
108,0101,10,2,21,1
108,0101,10,2,22,1
108,0101,10,2,23,1
108,0101,11,1,17,1
108,0101,11,2,15,1
108,0101,12,1,19,1
108,0101,12,1,23,1
108,0101,12,2,23,1
108,0101,13,1,15,1
108,0101,13,1,17,4
108,0101,13,1,18,3
108,0101,13,1,19,7
108,0101,13,1,20,3
108,0101,13,1,21,2
108,0101,13,1,22,6
108,0101,13,1,23,5
108,0101,13,1,24,5
108,0101,13,1,25,2
108,0101,13,2,15,1
108,0101,13,2,17,2
108,0101,13,2,18,2
108,0101,13,2,19,2
108,0101,13,2,20,6
108,0101,13,2,21,3
108,0101,13,2,22,4
108,0101,13,2,23,4
108,0101,13,2,24,2
108,0101,13,2,26,1
108,0101,14,1,25,1
108,0101,14,2,20,1
108,0101,17,1,13,1
108,0101,17,2,24,1
108,0101,17,2,25,1
108,0101,18,1,21,1
108,0101,18,2,13,1
108,0101,18,2,14,1
108,0101,18,2,17,1
108,0101,18,2,18,1
108,0101,18,2,21,1
108,0101,19,2,14,2
108,0101,19,2,15,1
108,0101,19,2,16,2
108,0101,19,2,17,3
108,0101,19,2,18,4
108,0101,19,2,19,3
108,0101,19,2,20,4
108,0101,19,2,21,5
108,0101,19,2,22,1
108,0101,19,2,24,2
108,0101,21,2,18,1
108,0101,21,2,19,2
108,0101,21,2,22,1
108,0101,22,2,16,1
108,0101,22,2,19,1
108,0101,22,2,21,1
108,0101,23,1,19,1
108,0101,23,1,20,1
108,0101,23,1,21,1
108,0101,23,1,22,2
108,0101,23,1,23,4
108,0101,23,1,24,4
108,0101,23,1,25,1
108,0101,25,1,24,1
108,0101,25,2,19,1
108,0101,26,1,17,1
108,0101,26,1,18,1
108,0101,26,1,20,1
108,0101,26,1,22,1
108,0101,26,1,23,2
108,0101,26,2,22,1
108,0101,26,2,23,1
108,0101,26,2,24,1
108,0101,27,1,15,1
108,0101,27,1,16,2
108,0101,27,1,18,2
108,0101,27,1,20,1
108,0101,27,1,21,1
108,0101,27,2,03,1
108,0101,27,2,14,1
108,0101,27,2,18,1
108,0101,27,2,22,1
108,0101,28,1,22,1
108,0101,29,2,18,1
108,0101,29,2,21,1
108,0101,31,1,14,1
108,0101,31,1,16,1
108,0101,31,1,17,1
108,0101,31,1,19,1
108,0101,31,1,20,1
108,0101,31,1,21,1
108,0101,31,1,24,1
108,0101,31,2,18,1
108,0101,31,2,19,1
108,0101,31,2,22,2
108,0101,31,2,23,2
108,0101,31,2,24,1
108,0101,31,2,25,1
108,0101,32,1,20,2
108,0101,32,1,21,3
108,0101,32,1,22,1
108,0101,32,1,24,1
108,0101,32,1,25,1
108,0101,32,2,20,1
108,0101,33,1,17,2
108,0101,33,1,19,1
108,0101,33,1,21,3
108,0101,33,1,22,2
108,0101,33,1,23,2
108,0101,33,1,24,1
108,0101,33,2,18,1
108,0101,33,2,19,1
108,0101,33,2,21,2
108,0101,33,2,22,2
108,0101,33,2,23,2
108,0101,33,2,24,1
108,0101,33,2,25,2
108,0102,01,1,15,1
108,0102,01,1,16,1
108,0102,01,1,17,5
108,0102,01,1,18,3
108,0102,01,1,19,1
108,0102,01,1,21,4
108,0102,01,1,22,2
108,0102,01,1,23,2
108,0102,01,2,20,1
108,0102,01,2,23,1
108,0102,02,1,20,1
108,0102,02,2,18,1
108,0102,02,2,19,1
108,0102,03,1,13,1
108,0102,04,1,15,1
108,0102,04,1,16,1
108,0102,04,1,17,1
108,0102,04,1,18,4
108,0102,04,1,19,1
108,0102,04,1,20,2
108,0102,04,1,23,1
108,0102,04,1,24,1
108,0102,05,1,16,1
108,0102,05,1,18,1
108,0102,05,1,19,3
108,0102,05,1,20,2
108,0102,05,1,21,6
108,0102,05,1,22,1
108,0102,05,1,23,1
108,0102,05,1,24,1
108,0102,05,1,25,2
108,0102,05,1,26,1
108,0102,05,2,16,2
108,0102,05,2,17,1
108,0102,05,2,18,2
108,0102,05,2,20,2
108,0102,05,2,21,1
108,0102,05,2,22,1
108,0102,05,2,23,3
108,0102,05,2,24,1
108,0102,06,1,21,2
108,0102,07,1,12,1
108,0102,07,1,13,1
108,0102,07,1,14,2
108,0102,07,1,16,3
108,0102,07,1,17,2
108,0102,07,1,18,5
108,0102,07,1,19,7
108,0102,07,1,20,6
108,0102,07,1,21,12
108,0102,07,1,22,7
108,0102,07,1,23,3
108,0102,07,1,24,5
108,0102,07,1,25,2
108,0102,07,2,14,1
108,0102,07,2,15,2
108,0102,07,2,16,2
108,0102,07,2,17,3
108,0102,07,2,19,1
108,0102,07,2,20,5
108,0102,07,2,21,4
108,0102,07,2,22,5
108,0102,07,2,23,5
108,0102,07,2,24,2
108,0102,07,2,25,2
108,0102,08,1,12,1
108,0102,08,1,15,2
108,0102,08,1,16,2
108,0102,08,1,17,5
108,0102,08,1,18,4
108,0102,08,1,19,6
108,0102,08,1,20,8
108,0102,08,1,21,12
108,0102,08,1,22,7
108,0102,08,1,23,3
108,0102,08,1,24,4
108,0102,08,2,17,1
108,0102,08,2,18,1
108,0102,08,2,19,4
108,0102,08,2,20,3
108,0102,08,2,21,2
108,0102,08,2,22,7
108,0102,08,2,23,7
108,0102,08,2,24,5
108,0102,08,2,25,2
108,0102,09,1,17,1
108,0102,09,1,20,1
108,0102,09,1,21,1
108,0102,09,1,23,1
108,0102,09,2,22,1
108,0102,09,2,23,1
108,0102,09,2,24,1
108,0102,10,1,15,1
108,0102,10,1,16,1
108,0102,10,1,17,2
108,0102,10,1,18,3
108,0102,10,1,19,2
108,0102,10,1,20,3
108,0102,10,1,21,3
108,0102,10,1,22,4
108,0102,10,1,23,3
108,0102,10,1,24,2
108,0102,10,2,16,1
108,0102,10,2,17,1
108,0102,10,2,20,3
108,0102,10,2,21,4
108,0102,10,2,22,1
108,0102,10,2,23,1
108,0102,10,2,24,2
108,0102,10,2,25,1
108,0102,11,1,20,1
108,0102,11,1,21,1
